quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-07-01,Beeswax UR Improvement Tier 2 (Mid UR),30474.22,,,3120.95,0
2025-07-01,GroundTruth Video CTV,30297.49,,,4453.44,0
2026-04-01,SEEDTAG (DON'T USE),30073.3,,,,0
2025-01-01,TTD - APP [Display],29423.71,,,,0
2026-07-01,Amobee - CTV - 1st Price,29382.02,29382.02,,,0
2025-04-01,TrueX Roku Games,29321.52,,,,0
2025-07-01,TrueX Roku Games,28306.68,,,4097.76,0
2025-01-01,Bidswitch - Desktop - 1st Price (HB),27343.67,,,,0
2026-07-01,Seedtag,27252.69,27252.69,,,0
2025-10-01,Sharethrough Web (Open Auction),27251.65,,,,0
2025-01-01,Yahoo - CTV - Open Auction,26654.46,,,,0
2025-07-01,TTD - Desktop - 1st Price (HB),26627.76,,,4198.08,0
2025-10-01,SkyUK_SkyMedia,26137.89,,,,0
2025-04-01,Sharethrough Web (Open Auction),25952.27,,,,0
2025-01-01,Beeswax - CTV - Open Auction - Paramount,25778.85,,,,0
2025-07-01,Ad Theorent - CTV - 1st Price,25517.4,,,6315.06,0
2026-07-01,Beeswax - CTV - Open Auction EAST,25407.42,25407.42,,,0
2026-01-01,TTD - APP [Display],25390.54,,,,0
2025-01-01,TrueX Roku AVOD,25218.62,,,,0
2025-04-01,MadHive - CTV - 1st Price,25216.19,,,,0
2025-07-01,Viant - MW - 1st Price,25003.62,,,5.69,0
2026-01-01,Centro Video Web (1st Price),24093.33,,,,0
2025-01-01,Amobee - CTV - 1st Price,24021.24,,,,0
2025-01-01,SundaySky - Desktop - 1st Price,23854.88,,,,0
2025-10-01,TrueX Vizio AVOD,23692.62,,,,0
2025-01-01,Viant - APP,23117.11,,,,0
2025-01-01,GroundTruth Video CTV - No LatLong,23050.92,,,,0
2025-10-01,TrueX LG games,22786.12,,,,0
2026-07-01,Beeswax - CTV - Open Auction WEST,22783.33,22783.33,,,0
2025-07-01,TTD - CTV (LG Ads Only),22485.25,,,8493.81,0
2026-01-01,StackAdapt - CTV - Open Auction - Efficiency Monitoring,22274.96,,,,0
2026-04-01,Viant - CTV (Charter),22273.03,,2800.84,,0
2025-01-01,TTD - APP,22154.82,,,,0
2025-04-01,SmartyAds - CTV (Samsung),21968.68,,,,0
2025-04-01,SimpliFi - APP [Display],21910.19,,,,0
2026-04-01,Adtelligent - CTV (Price Targeted),21311.57,,2188.56,,0
2025-04-01,Centro Display InApp,20834.29,,,,0
2025-01-01,MadHive - CTV - 1st Price,20769.89,,,,0
2026-01-01,SkyUK_SkyMedia,20746.83,,,,0
2025-01-01,Viant - MW [Display],20612.24,,,,0
2026-04-01,StackAdapt - CTV - Open Auction - Efficiency Monitoring,20307.69,,3581.96,,0
2026-01-01,TrueX Roku Games,20257.6,,,,0
2025-10-01,StackAdapt - CTV - Open Auction (Canada),20246.42,,,,0
2025-04-01,TTD - Desktop - 1st Price (HB),20192.98,,,,0
2026-01-01,Viant - MW - 1st Price,20044.56,,,,0
2025-04-01,TrueX Vizio games,19874.58,,,,0
2025-04-01,Yahoo - CTV - Open Auction,19060.26,,,,0
2025-07-01,Yahoo - CTV - Open Auction,19011.95,,,2150.61,0
2025-10-01,TTD - Desktop - 1st Price (HB),18838.77,,,,0
2026-01-01,Viant - MW,18710.78,,,,0
2025-07-01,MadHive - CTV - 1st Price,18249.12,,,1458.26,0
2025-07-01,TrueX Vizio games,18215.16,,,1905.24,0
2025-01-01,TTD - MW [Display],18074.4,,,,0
2025-10-01,SmartyAds - CTV (Samsung),17932.55,,,,0
2025-01-01,TrueX Comcast games,17746.4,,,,0
2026-04-01,Lemma DSP CTV Ad,17320.55,,2544.66,,0
2025-10-01,StackAdapt - CTV - Open Auction - Efficiency Monitoring,17123.58,,,,0
2026-01-01,StackAdapt - CTV - Open Auction (Canada),17043.63,,,,0
2025-07-01,Sharethrough Web (Open Auction),16902.96,,,1474.21,0
2026-04-01,SkyUK_Play.Works UK non Sky,16473.88,,2169.58,,0
2026-04-01,TrueX Vizio AVOD,16098.9,,1759.92,,0
2025-07-01,SkyUK_SkyMedia,16069.28,,,1954.48,0
2025-07-01,SmartyAds - CTV (Samsung),16025.89,,,645.68,0
2025-10-01,Ad Theorent - CTV - 1st Price,15999.11,,,,0
2025-10-01,Yahoo - Desktop MW - Open Auction,15667.79,,,,0
2025-07-01,SimpliFi - Web (1st Price),15438.4,,,1945.5,0
2025-10-01,Viant - Desktop,15413.63,,,,0
2025-10-01,Bidswitch - MW - 1st Price (HB),15324.44,,,,0
2025-04-01,Ad Theorent - Desktop/MW Display,15225.58,,,,0
2026-07-01,Xandr CTV,15100.52,15100.52,,,0
2026-01-01,SkyUK_Play.Works UK non Sky,15008.19,,,,0
2025-04-01,SimpliFi - Web (1st Price),14890.72,,,,0
2025-04-01,MadHive - CTV - 1st Price (Paramount OA),14762.76,,,,0
2025-01-01,TrueX Roku Games,14692.88,,,,0
2025-04-01,Seedtag - Open Auction-  Ads.txt Updated CTV Supply  ,14619.59,,,,0
2025-07-01,StackAdapt - CTV - Open Auction - Efficiency Monitoring,14306.71,,,645.96,0
2025-07-01,Bidswitch - MW - 1st Price (HB),14298.43,,,431.67,0
