quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-04-01,2503 - MGMPLUS - MARCH 2025 XCH - MGMP20309-14 - MOVIES,2.04,,,,0
2025-04-01,Beeswax - CTV - Open Auction (Charter Political),2.01,,,,0
2025-04-01,ATT_SuperAwesome_44121 Kids Tweens,1.97,,,,0
2025-10-01,Stirista - MW [Display],1.95,,,,0
2026-07-01,SmartyAds - CTV (Streaming Apps),1.88,1.88,,,0
2025-01-01,Conversant Future Today CTV (225391),1.85,,,,0
2025-04-01,Groundtruth Video In-App,1.85,,,,0
2025-01-01,IQM - In-App Video - Open Auction,1.84,,,,0
2025-07-01,Centro Video InApp,1.78,,,0.14,0
2026-04-01,0326 - MGMPLUS - AMERICAN CLASSIC TRAILER - MGMPHD363384 - SERIES,1.65,,1.65,,0
2025-01-01,Media Pulse - CTV (Samsung $15),1.64,,,,0
2026-07-01,Conversant - Web - Open Auction - Video,1.64,1.64,,,0
2026-07-01,GroundTruth Video CTV - Efficiency Monitoring,1.57,1.57,,,0
2026-04-01,Lemma DSP CTV Ad (COPPA),1.53,,,,0
2025-07-01,Marketing Architects - PlayerWON,1.53,,,0.25,0
2026-07-01,Bidswitch - APP 1st Price,1.51,1.51,,,0
2026-07-01,Krush Media Video - CTV Direct (700),1.51,1.51,,,0
2025-04-01,Ad Theorent - Desktop Video (LQPS Audit),1.48,,,,0
2025-01-01,Marketing Architects - PlayerWON,1.48,,,,0
2026-01-01,Stirista - Desktop [Display],1.45,,,,0
2025-01-01,Groundtruth Video In-App,1.44,,,,0
2025-10-01,IQM - In-App Video - Open Auction,1.43,,,,0
2025-10-01,Bidswitch - CTV (Charter),1.41,,,,0
2025-07-01,Stirista - APP [Display],1.39,,,,0
2025-01-01,Ad Theorent - APP Video (LQPS Audit),1.33,,,,0
2025-01-01,Lemma DSP Inapp Video,1.33,,,,0
2026-01-01,Stirista - MW [Display],1.33,,,,0
2026-01-01,IQM - In-App Video - Open Auction,1.24,,,,0
2026-01-01,Bidswitch - CTV (Charter),1.23,,,,0
2025-07-01,Stirista - Open Auction - OLV (InApp),1.16,,,0.17,0
2025-07-01,Bidswitch - CTV (Charter),1.14,,,,0
2026-07-01,Stirista - Open Auction - OLV (InApp),1.08,1.08,,,0
2025-07-01,Stirista - Desktop [Display],1.01,,,,0
2026-01-01,SmartyAds - CTV (Vizio),0.99,,,,0
2025-01-01,BizzClick - CTV (Indirect),0.98,,,,0
2025-01-01,Conversant  Newsy VIZIO CTV (203829),0.86,,,,0
2026-07-01,Ad Theorent - Desktop Video (LQPS Audit),0.86,0.86,,,0
2025-04-01,Media Pulse - CTV (Samsung $15),0.85,,,,0
2026-01-01,MetaX A&amp;E Networks $16,0.82,,,,0
2025-04-01,2503 - MGMPLUS - NINE BODIES IN A MEXICAN MORGUE - XCH PROMO - MGMPF362935-01 - ORIGINAL SERIES,0.82,,,,0
2025-04-01,Conversant Future Today CTV (225790),0.81,,,,0
2025-01-01,LEAP 4imprint March 2025,0.81,,,,0
2026-01-01,Philips Zeasn,0.76,,,,0
2025-04-01,Conversant  Newsy VIZIO CTV (203829),0.74,,,,0
2025-10-01,SmartyAds - CTV (Fubo),0.71,,,,0
2025-04-01,IQM - In-App Video - Open Auction,0.67,,,,0
2026-01-01,Ad Theorent - Desktop Video (LQPS Audit),0.66,,,,0
2025-01-01,CUERVO_DOBEL_NFL_DIC24,0.56,,,,0
2026-01-01,Stirista - Open Auction - OLV (InApp),0.54,,,,0
2026-07-01,GroundTruth Display,0.51,0.51,,,0
2025-04-01,LEAP 4imprint March 2025,0.49,,,,0
2025-01-01,DeepIntent - Seedtag,0.45,,,,0
2026-01-01,Beachfront Marketplace,0.44,,,,0
2025-01-01,LG_SuperAwesome_$9 Kids Tweens,0.43,,,,0
2026-04-01,Marketing Architects - CTV 1st Price - Roku Bundles,0.43,,0.4,,0
2025-04-01,Conversant Pluto CTV (204778) (list targeted),0.42,,,,0
2026-04-01,Krush Media Inapp Video,0.4,,,,0
2026-07-01,IQM - Web Video - Open Auction,0.4,0.4,,,0
2026-01-01,Stirista - APP [Display],0.39,,,,0
2026-04-01,IQM - In-App Video - Open Auction,0.38,,0.17,,0
2026-07-01,Philips Zeasn,0.37,0.37,,,0
2025-01-01,Conversant Future Today CTV (225790),0.37,,,,0
2025-07-01,Stirista - MW [Display],0.36,,,,0
2025-01-01,Sharethrough CTV Video (Client Optimization),0.33,,,,0
2025-01-01,SmartyAds - DOOH,0.33,,,,0
2026-01-01,4INFO - CTV - 1st Price,0.32,,,,0
2026-04-01,0,0.29,,0.02,,0
2026-04-01,Stirista - APP [Display],0.28,,,,0
2025-04-01,DeepIntent - Seedtag,0.25,,,,0
2026-07-01,IQM - Display - Open Auction,0.25,0.25,,,0
2026-01-01,Mighty Wheels December 2025,0.22,,,,0
2025-01-01,Vizio_SuperAwesome_10 Kids Tweens (copy),0.2,,,,0
2025-07-01,Beachfront Marketplace,0.18,,,,0
2026-07-01,Ad Theorent - APP [Display],0.18,0.18,,,0
2026-01-01,Conversant - CTV - Open Auction (Charter),0.18,,,,0
2026-04-01,Stirista - Open Auction - OLV (InApp),0.17,,0.04,,0
2026-04-01,Bidswitch - MW - 1st Price (HB),0.16,,0.04,,0
2025-10-01,Marketing Architects - PlayerWON,0.16,,,,0
2026-04-01,Beachfront Marketplace,0.15,,0.15,,0
2025-10-01,1PlayWorks test,0.13,,,,0
2025-01-01,SkyUK_SuperAwesome_KidsTweens,0.11,,,,0
2025-01-01,Roku_SuperAwesome_$9_Teens,0.11,,,,0
2025-01-01,Vizio_SuperAwesome_ Kids Tweens,0.1,,,,0
2025-01-01,Unruly InApp 1st Price Video,0.09,,,,0
2025-01-01,Conversant Pluto CTV (204778) (list targeted),0.09,,,,0
2026-07-01,Krush Media Web Video,0.09,0.09,,,0
2025-04-01,SkyUK_SuperAwesome_KidsTweens,0.08,,,,0
2026-01-01,Marketing Architects - PlayerWON,0.07,,,,0
2025-04-01,Stirista - Open Auction - OLV (Web),0.07,,,,0
2025-04-01,Sharethrough CTV Video (Client Optimization),0.07,,,,0
2025-07-01,1PlayWorks test,0.07,,,,0
2026-04-01,Marketing Architects - PlayerWON,0.07,,0.04,,0
2026-01-01,1PlayWorks test,0.06,,,,0
2025-07-01,Stirista - Open Auction - OLV (Web),0.06,,,,0
2026-04-01,Conversant - CTV - Open Auction (Charter),0.06,,,,0
2025-07-01,LEAP McDonalds ,0.05,,,,0
2025-10-01,Mighty Wheels September 2025 Dub01,0.05,,,,0
2025-04-01,Conversant Future Today CTV (225835),0.05,,,,0
2026-04-01,Stirista - Desktop [Display],0.05,,,,0
2025-04-01,1PlayWorks test,0.05,,,,0
2026-04-01,Stirista - MW [Display],0.04,,,,0
2025-10-01,LEAP McDonalds (2026),0.04,,,,0
2025-04-01,Conversant Future Today CTV (225834),0.04,,,,0
2025-10-01,Mighty Wheels September 2025,0.04,,,,0
2025-04-01,Roku_SuperAwesome_$9_TankeeAvod,0.04,,,,0
2025-04-01,Conversant Future Today CTV (225389),0.04,,,,0
2025-01-01,Roku_SuperAwesome_$9_TankeeAvod (copy),0.03,,,,0
2025-10-01,Stirista - Open Auction - OLV (InApp),0.03,,,,0
2025-01-01,1PlayWorks test,0.03,,,,0
2025-07-01,Bidswitch -RTB- Getintent-Whitelist- Web Display,0.03,,,,0
2025-01-01,Conversant Future Today CTV (225389),0.03,,,,0
2025-07-01,DeepIntent - Seedtag,0.03,,,0.01,0
2026-07-01,Stirista - APP [Display],0.03,0.03,,,0
2025-04-01,Roku_SuperAwesome_$9_Teens,0.03,,,,0
2026-07-01,Conversant - CTV - Open Auction (Charter),0.02,0.02,,,0
2025-01-01,Conversant Future Today CTV (225835),0.02,,,,0
2025-01-01,Conversant Future Today CTV (225834),0.02,,,,0
2025-01-01,Roku_SuperAwesome_$9_TankeeAvod,0.02,,,,0
2025-01-01,SkyDE_SuperAwesome_$9 (copy),0.02,,,,0
2025-10-01,Mighty Wheels September 2025 Dub02,0.02,,,,0
2025-01-01,Xandr STB VOD,0.02,,,,0
2025-10-01,Bidswitch -RTB- Getintent-Whitelist- Web Display,0.02,,,,0
2025-01-01,Bidswitch - STB VOD,0.02,,,,0
2025-01-01,MetaX A&amp;E Networks $16,0.02,,,,0
2026-07-01,Lemma DSP CTV Ad (COPPA),0.02,0.02,,,0
2025-04-01,Xandr STB VOD,0.02,,,,0
2025-04-01,Roku_SuperAwesome_$9_TankeeAvod (copy),0.02,,,,0
2026-07-01,Bidswitch - MW - 1st Price (HB),0.02,0.02,,,0
2026-07-01,0,0.02,0.02,,,0
2026-01-01,Marketing Architects - CTV 1st Price - Roku Bundles,0.02,,,,0
2025-04-01,Conversant Future Today CTV (225500),0.02,,,,0
2025-01-01,ATT_SuperAwesome_44121 Kids Tweens,0.01,,,,0
2025-01-01,Stirista - Open Auction - OLV (Web),0.01,,,,0
2026-04-01,Stirista - Open Auction - OLV (Web),0.01,,,,0
2026-07-01,Stirista - Open Auction - OLV (Web),0.01,0.01,,,0
2026-04-01,Equative InApp Video (Open Auction) (copy),0.01,,,,0
2026-01-01,Roku_games_xandr_$9,0.01,,,,0
