period,connection_type,business_line,product_category,dsp_group_name,clearvu_account,channel_id,rev_gross
current_week,BidSwitch,Open Auction - Seedtag,Display,Madopi,,Madopi,910.45
current_week,Direct,Open Auction - Seedtag,Online Video,Xandr,,AppNexus,832.44
previous_week,Direct,Select - BFM,CTV,TheTradeDesk,Strategus,TheTradeDesk,826.4
current_week,Direct,Open Auction - Seedtag,Native,Xandr,,AppNexus,822.67
previous_week,Direct,Open Auction - Seedtag,Native,Xandr,,AppNexus,803.13
current_week,Direct,Open Auction - BFM,CTV,DBM,,DBM,799.31
current_week,Direct,Select - BFM,CTV,JamLoop OpenRTB,TEGNA,JamLoop OpenRTB,777.08
current_week,Direct,Open Auction - BFM,CTV,Conversant,,Epsilon (Conversant),723.55
current_week,Direct,Open Auction - Seedtag,Online Video,Illumin,,Illumin,720.45
previous_week,Direct,Open Auction - Seedtag,Online Video,Xandr,,AppNexus,720.45
previous_week,Direct,Open Auction - Seedtag,Online Video,MSAN,,AppNexus,686.37
previous_week,Direct,Open Auction - Seedtag,Online Video,Illumin,,Illumin,680.92
current_week,Direct,PMP - Curation,Native,RtbHouse,,RtbHouse,672.12
previous_week,Direct,Select - BFM,CTV,TheTradeDesk,IRIS,TheTradeDesk,663.71
current_week,Direct,DSP Marketplace - BFM,CTV,JamLoop OpenRTB,,JamLoop OpenRTB,654.46
previous_week,Direct,Select - BFM,CTV,JamLoop OpenRTB,TEGNA,JamLoop OpenRTB,652.41
current_week,Direct,Open Auction - Seedtag,Online Video,MSAN,,AppNexus,649.82
current_week,Direct,Open Auction - BFM,Display,Yahoo DSP,,Yahoo DSP,648.65
previous_week,BidSwitch,Open Auction - Seedtag,Display,Madopi,,Madopi,638.11
previous_week,BidSwitch,DSP Marketplace - BFM,CTV,DV360,,DV360,616.71
previous_week,Direct,PMP Web - O&O,Display,StackAdapt,,StackAdaptDSP,593.81
current_week,BidSwitch,DSP Marketplace - BFM,CTV,DV360,,DV360,588.53
previous_week,Direct,Open Auction - Seedtag,Display,Viant,,Viant,577.2
previous_week,Direct,Open Auction - BFM,CTV,DSP Not Found,,Other,553.24
previous_week,Direct,Open Auction - BFM,Display,Yahoo DSP,,Yahoo DSP,530.31
previous_week,Direct,DSP Marketplace - BFM,CTV,Amobee,,Amobee,450.66
current_week,Direct,Open Auction - BFM,Display,Viant,,Viant,432.69
current_week,Direct,DSP Marketplace - BFM,CTV,Adtelligent,,Adtelligent,427.88
current_week,Direct,Open Auction - BFM,CTV,Xandr,,AppNexus,399.69
previous_week,Direct,DSP Marketplace - BFM,CTV,JamLoop OpenRTB,,JamLoop OpenRTB,398.71
previous_week,Direct,DSP Marketplace - BFM,CTV,Adtelligent,,Adtelligent,380.43
current_week,Direct,DSP Marketplace - BFM,CTV,DeepIntent,,DeepIntent,374.58
previous_week,Direct,PMP - Curation,Online Video,RtbHouse,,RtbHouse,363.39
current_week,Direct,Select - BFM,CTV,Basis Technologies,IRIS,Basis Technologies,330.72
current_week,BidSwitch,Open Auction - BFM,Display,DV360,,DV360,321.34
previous_week,Direct,Open Auction - BFM,CTV,Conversant,,Epsilon (Conversant),310.48
current_week,BidSwitch,PMP - Curation,Display,DV360,,DBM,305.75
current_week,Direct,Select - BFM,CTV,Walmart,Chief Media,Walmart,303.68
previous_week,Direct,Open Auction - BFM,Display,Viant,,Viant,289.9
previous_week,Direct,Open Auction - BFM,CTV,DBM,,DBM,276.93
