quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions,outgoing_bids
2026-01-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,22276.0,,,,0,0
2026-04-01,Viant,Viant - CTV (Charter),22273.03,,11185.52,,0,0
2025-07-01,TheTradeDesk,TTD - CTV (LG Ads Only),22164.19,,,16949.72,0,0
2025-04-01,SmartyAds,SmartyAds - CTV (Samsung),22068.46,,,,0,0
2025-04-01,Walmart,TTD - CTV (1st Price),21872.67,,,,0,0
2025-10-01,DV360,Bidswitch - Seedtag,21758.45,,,,0,0
2025-01-01,TheTradeDesk,TTD - APP,21452.1,,,,0,0
2025-04-01,SimpliFi,SimpliFi - APP [Display],21071.47,,,,0,0
2025-04-01,Basis Technologies,Centro Display InApp,20745.94,,,,0,0
2025-01-01,Viant,Viant - MW [Display],20510.09,,,,0,0
2026-04-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,20307.66,,11846.5,,0,0
2026-01-01,Viant,Viant - MW - 1st Price,20044.57,,,,0,0
2025-01-01,MadHive,MadHive - CTV - 1st Price,20017.68,,,,0,0
2025-04-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),19583.34,,,,0,0
2025-04-01,Yahoo DSP,Yahoo - CTV - Open Auction,18856.36,,,,0,0
2026-04-01,Pubmatic,SEEDTAG (DON'T USE),18766.15,,,,0,0
2026-01-01,Viant,Viant - MW,18710.77,,,,0,0
2026-04-01,Adtelligent,Adtelligent - CTV (Price Targeted),18679.1,,9751.67,,0,0
2025-04-01,MadHive,MadHive - CTV - 1st Price,18141.71,,,,0,0
2025-10-01,SmartyAds,SmartyAds - CTV (Samsung),17932.55,,,,0,0
2025-10-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),17832.01,,,,0,0
2025-07-01,Yahoo DSP,Yahoo - CTV - Open Auction,17808.06,,,7615.04,0,0
2025-07-01,Sharethrough,Sharethrough Web (Open Auction),17377.03,,,6652.12,0,0
2026-04-01,Lemma DSP,Lemma DSP CTV Ad,17319.05,,10248.44,,0,0
2025-01-01,TheTradeDesk,TTD - MW [Display],17248.85,,,,0,0
2025-10-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,17121.87,,,,0,0
2026-07-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,16465.88,16465.88,,,0,0
2026-01-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),16457.28,,,,0,0
2025-07-01,SmartyAds,SmartyAds - CTV (Samsung),16054.19,,,10445.58,0,0
2025-10-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),16016.79,,,,0,0
2025-07-01,SimpliFi,SimpliFi - Web (1st Price),15739.7,,,6869.33,0,0
2025-10-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,15667.88,,,,0,0
2025-10-01,Viant,Viant - Desktop,15429.85,,,,0,0
2025-04-01,Adtheorent,Ad Theorent - Desktop/MW Display,15222.54,,,,0,0
2025-07-01,Quantcast,Bidswitch - Seedtag,15120.17,,,7391.61,0,0
2025-04-01,Seedtag,Seedtag - Open Auction-  Ads.txt Updated CTV Supply  ,14942.23,,,,0,0
2025-04-01,SimpliFi,SimpliFi - Web (1st Price),14899.71,,,,0,0
2025-04-01,MadHive,MadHive - CTV - 1st Price (Paramount OA),14791.57,,,,0,0
2026-07-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),14730.49,14730.49,,,0,0
2025-07-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,14505.32,,,7602.2,0,0
2025-07-01,SundaySky,SundaySky - MW - 1st Price,14359.28,,,7603.16,0,0
2025-04-01,Sharethrough,Sharethrough InApp Video (Open Auction),14342.79,,,,0,0
2025-01-01,Seedtag,Seedtag - Open Auction - CTV,14213.18,,,,0,0
2025-07-01,Basis Technologies,Centro Display InApp,14176.13,,,7118.35,0,0
2025-10-01,Amazon DSP,Bidswitch - MW - 1st Price (HB),14124.97,,,,0,0
2025-04-01,Viant,Viant - APP [Display],13910.18,,,,0,0
2025-10-01,Adtheorent,Ad Theorent - CTV - 1st Price,13887.72,,,,0,0
