m,bl,dsp,cva,ad,did,rev
2025-10-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.fi Deal - CTV - (AMC),614613336893,39.47
2025-09-01,Select - BFM,DV360,IRIS,GumGum - Cendyn - Royalton - Contextual CTV_BFM,IRIS00289,332.84
2025-07-01,Open Auction - BFM,Bidswitch,—,Bidswitch Deal - Roku CTV Cross screen  ALWAYS ON,,0.0
2025-11-01,DSP Marketplace - BFM,JamLoop OpenRTB,Beachfront Deal Curation,Live Sport - CTV - Golf Only - Jamloop,988359389694,146.53
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Top Executives - Connected TV,STNXCTV012,0.0
2026-07-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Wellness & Mindful Living Advocates - DV360 - Marketplace,STNXCTV019,0.0
2026-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant - Seedtag Q1 Tentpole - Winter Olympics - Contextual CTV,Beach216,47.46
2026-07-01,Open Auction - BFM,StackAdapt,—,StackAdapt - Desktop - Open Auction,,251.74
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,BFM Internal,TTD Deal - CTV - MiQ (LDA),234180798348,0.0
2025-09-01,DSP Marketplace - BFM,Bidswitch,—,Bidswitch Deal - CTV - Local News (Deals Discovery),179348574202,0.0
2025-08-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - Sports CTV_BFM,IRIS00314,11281.88
2025-12-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - Vizio - Efficient CPM,760573200866,1118.92
2025-11-01,Select - BFM,Xandr,IRIS,MNI - Science & Tech CTV_BFM,IRIS73,0.0
2025-11-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Pizza Hut Visitors - CTV,Quoru104,0.0
2025-12-01,DSP Marketplace - BFM,Bidswitch,—,Bidswitch Deal - CTV - Channel Package - Food&Cooking  (Networks),693513730943,0.0
2025-11-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant Deal - Walter County Tourism (Bundles),196835969212,3.39
2025-08-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,SimpliFi Deal - Gearheads CTV - Contextual,248292939179,1.42
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - McDonald's Visitors - CTV,Quoru56,0.44
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Macy's Visitors - Banner,Quoru31,0.0
2025-07-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066519 - Optimum Media - Multiple Brands - CTV SmartPMP - US -CTV PoliticalCompliant,Audig1774,0.01
2025-07-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Migration,Beeswax Deal - CTV - Datafy - Local News - Bundles,976376076666,394.84
2025-07-01,Open Auction - BFM,SmartyAds,—,SmartyAds - Web Video,,49.51
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - HavasEdge - CTV RON,676738569288,0.0
2025-09-01,Open Auction - BFM,—,—,Conversant - CTV - Open Auction,,0.0
2025-12-01,Select - BFM,Bidswitch,Quorum,Quorum > Boat Enthusiasts > Physical Visitors,Quoru191,0.0
2025-11-01,Select - BFM,TheTradeDesk,Quorum,Quorum - Interior Designers - Physical Visitors,Quoru213,0.0
2025-09-01,DSP Marketplace - BFM,4INFO,—,Cadent_NBC_Local(Broadcast)_PMP,921111738474,0.0
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_[Allows Gambling],Beach160,0.03
2025-09-01,Open Auction - BFM,—,—,TTD - APP [Display],,0.0
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD - Display - Hispanic RON (Converge Direct),248210772692,0.0
2026-07-01,Select - BFM,TheTradeDesk,MultiLocal,R&R Partners_Many_Hispanics_Politics Allowed_mlm_US_CTV_BF_MLMBRID4768,Multi13,0.0
2026-07-01,DSP Marketplace - BFM,Xandr,BFM Internal,Xandr Deal - CTV - MiQ (LDA),412577962377,0.0
2026-08-01,DSP Marketplace - BFM,Amobee,BFM Internal,Amobee Deal - CTV (Politics Allowed),BFM017,256.01
2026-08-01,DSP Marketplace - BFM,Epsilon (Conversant),BFM Internal,Conversant Deal - CTV - RON,255653458214,777.35
2026-08-01,Open Auction - BFM,SmartClip,—,Philips_SC_Germany,,0.0
2025-12-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Travel - CTV - Tentpole Deal - VideoAmp,Beach155,0.0
2025-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV (Business and News),385551492251,11780.39
2025-08-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - CTV - CNN Newsource,122820292944,249.49
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Papa John's Visitors - CTV,Quoru102,0.0
2025-08-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,New Media Video RON - Yahoo,319942045448,83.18
2025-09-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (Plex),,733.62
2025-09-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - CTV ($Other MiQ),841987070336,546.14
2025-12-01,Open Auction - BFM,OTT Advisors (Demand),—,OTT Advisors Deal - MW/Tablet - Live Sports (Washington DC),,0.0
2025-12-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (Streaming Apps),,1474.25
2025-11-01,Open Auction - BFM,Walmart,—,TTD - MW - 1st Price (HB),,7.45
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD -CTV - Live Sports (HavasEdge),939291741799,0.0
2025-09-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant Deal - CTV - Targeting away from Political (IRIS),925896302547,6103.46
2025-07-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,Simpli.Fi Deal - FOX,277471236734,83.28
2025-08-01,Select - BFM,TheTradeDesk,Aki,0,Aki1,0.0
2025-08-01,Select - BFM,TheTradeDesk,IRIS,IRIS.TV - Quantum11 - Potbelly Sentiment CTV_BFM,IRIS00283,98.91
2025-07-01,Open Auction - BFM,OMG,—,Zombies 4 Now Available Afternoon (Urgency),,2.48
2025-08-01,Open Auction - BFM,Reset Digital,—,Indirect - Reset Digital - $18 Floor,,0.0
2025-11-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Bully Pulpit - CTV (Political - Right Leaning),189028499,0.0
2025-12-01,Open Auction - BFM,—,—,F0041682 UFC 323 DVALISHVILI VS YAN SABADO 011225,,0.0
2026-07-01,Open Auction - BFM,Bidswitch,—,Bidswitch - MW - 1st Price (HB),,0.0
2026-07-01,Select - BFM,Yahoo DSP,Camelot,PMG - LG - Hardees,PMGLGAdsHardees,0.0
2026-07-01,Open Auction - BFM,TheTradeDesk,—,Seedtag,,1025.97
2026-08-01,Open Auction - BFM,Basis Technologies,—,Centro Display Web,,6.83
2026-08-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | New & Expecting Parents - Connected TV,STNXCTV005,0.0
2026-08-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Migration,Yahoo Deal - CTV - Politics Allowed,BFM017,64.42
2026-08-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - CTV - Open Auction,,181.51
2026-08-01,Open Auction - BFM,Viant,—,Viant - MW - 1st Price,,89.84
2025-10-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV -  CBS Bundle Override (Price Targeted),MH42,5963.24
2025-10-01,Open Auction - BFM,Viant,—,Viant - CTV (Charter),,2498.1
2025-10-01,Open Auction - BFM,GroundTruth,—,GroundTruth Video CTV,,25466.64
2025-09-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Bidswitch Deal - Zeta - CTV - RON (Curation Seat),447383266136,0.0
2025-11-01,Open Auction - BFM,—,—,F0041360 UFC 322 DELLA MADDALENA VS MAKHACHEV SAB 30,,0.0
2025-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_[Allows CBD],Beach159,0.0
2025-07-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Burger King Visitors - Banner,Quoru57,0.0
2025-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,Jamloop Deal - CTV - Network-Override-CBS Extension,JL001,2839.39
2025-09-01,Open Auction - BFM,—,—,TruOptik CTV Pixel,,0.0
2025-12-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis Deal - Local News CTV,724834360400,4705.38
2025-08-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - Desktop [Display],,7.79
2025-12-01,Select - BFM,Viant,Quorum,Quorum Optimized > Viant > High Index Zips - Shopping Mall Visitors - CTV,Quoru183,0.0
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Food,Beach165,0.61
2025-07-01,DSP Marketplace - BFM,Bidswitch,—,T-Ads_Display_Beachfront_Multipub_$0.5,138203852781,0.0
2025-09-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Lifestyle,662154926548,10347.96
2025-08-01,Open Auction - BFM,Samsung DSP,—,Bidswitch - Desktop [Display],,0.0
2026-07-01,DSP Marketplace - BFM,JamLoop OpenRTB,BFM Internal,JamLoop Deal - CTV - A&amp;E - Efficient CPM,456808823983,238.9
2026-08-01,DSP Marketplace - BFM,Adtheorent,Beachfront Deal Curation,BigHappy Mobile Web RON - Display,BigHappy01734,0.41
2026-08-01,Open Auction - BFM,OTT Advisors (Demand),—,OTT Advisors Deal - CTV - (Univision),,0.0
2026-08-01,DSP Marketplace - BFM,StackAdapt,—,Q4 Gold Publishers,078498699473,0.0
2025-09-01,DSP Marketplace - BFM,Bidswitch,—,T-Ads_CTV_Beachfront_Philo_$14,208381486364,0.0
2025-08-01,Open Auction - BFM,Epsilon (Conversant),—,0,255653458214,0.0
2025-08-01,DSP Marketplace - BFM,MadHive,—,Madhive Deal - CTV Genre Sports,BFM021,56.77
2025-11-01,Select - BFM,DV360,Quorum,Quorum > Sports Fans > Physical Visitors,Quoru231,0.0
2025-12-01,Select - BFM,TheTradeDesk,Strategus,Strategus CTV RON,300416284256,13087.24
2025-09-01,DSP Marketplace - BFM,GroundTruth,—,GroundTruth Deal - App - Display - 0.30% CTR,166547275315,12.64
2025-11-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_60 Second Placements,Beach173,8298.85
2025-10-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Datafy - Holiday Travel Seasonal - Q4,Datafy6204970307,702.12
2025-12-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV,443119806437,8600.89
2025-08-01,Open Auction - BFM,IPONWEB BidCore,—,Bidswitch - MW [Display],,3.41
2025-10-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Comcast Playworks,991133437221,118.37
2025-09-01,Select - BFM,Stirista,Audigent,Audigent & Beachfront - AUD-066519 - Optimum Media - Multiple Brands - CTV SmartPMP - US - CTV + OTT - RON,Audig1775,0.43
2025-09-01,Select - BFM,TheTradeDesk,Strategus,Strategus Deal - CTV - Fubo US Sports,937479936681,0.03
2025-09-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - OTT - Skechers 2025 - Women 45+ - Reality,767012029105,1824.67
2025-11-01,Select - BFM,Quantcast,Quorum,Quorum > Tech Shoppers > Physical Visitors,Quoru200,0.0
2025-09-01,Open Auction - BFM,—,—,Basis - CTV - oRTB - (US),,0.0
2025-08-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,0,Beach119,0.0
2025-11-01,Select - BFM,Yahoo DSP,Audigent,PMG & Beachfront - SDEAL-21046 - PMG - PMG - PMG - ctv SmartPMP - Sub-Prime Credit Card US,Audig1755,0.0
2025-10-01,Select - BFM,—,Strategus,0,,0.0
2025-12-01,Select - BFM,DV360,Quorum,Quorum > Holiday Shoppers > Physical Visitors,Quoru198,0.0
2026-08-01,DSP Marketplace - BFM,SmartyAds,Beachfront Deal Curation,SmartyAds - Sport Racing - 2026 Deal,Beach256,0.03
2026-08-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,Yahoo - Seedtag Q1 Tentpole - Winter Olympics - Contextual CTV,Beach225,0.0
2025-08-01,Select - BFM,Viant,IRIS,IRIS.TV - Viant - Video Gaming CTV_BFM,IRIS00296,4.14
2025-11-01,Open Auction - BFM,Sharethrough,—,Sharethrough Web (Open Auction),,9173.27
2025-11-01,Select - BFM,Bidswitch,Quorum,Quorum > Food Lovers > Physical Visitors,Quoru195,0.0
2025-11-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV - Fubo (Price Targeted),MH38,2430.04
2025-08-01,Open Auction - BFM,4INFO,—,0,,0.0
2025-08-01,Select - BFM,Yahoo DSP,Camelot,PMG - Pub Targeting,PMGPub,52397.99
2025-08-01,Open Auction - BFM,Beeswax,—,Beeswax - CTV - Open Auction EAST,,19923.71
2025-08-01,DSP Marketplace - BFM,Zeta DSP,Beachfront Deal Curation,Bidswitch Deal - Zeta - CTV - Political (FP1),625581164304,2.95
2025-08-01,Open Auction - BFM,—,—,Conversant - CTV - Open Auction,,0.0
2025-11-01,Open Auction - BFM,—,—,2511 - MGMPLUS - ROBIN HOOD PROMO - MGMPHD363301-01 - MOVIES,,442.02
2025-12-01,DSP Marketplace - BFM,Adtheorent,Beachfront Deal Curation,BigHappy Mobile Web RON - Display,BigHappy01734,1.07
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Chipotle Visitors - Banner,Quoru59,0.0
2025-11-01,Select - BFM,Basis Technologies,IRIS,IRIS.TV - Basis - Outdoor/Sports - CTV_BFM,IRIS00060,571.87
2025-11-01,Open Auction - BFM,Adtelligent,—,0,,0.0
2025-07-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - Desktop [Display],,0.0
2025-10-01,Open Auction - BFM,SmartyAds,—,SmartyAds - Web Video,,163.94
2025-07-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Golf - CTV - Contextual - Tentpole Deal - Conversant,Beach135,2.86
2025-09-01,DSP Marketplace - BFM,SimpliFi,Beachfront Deal Curation,SimpliFi Deal - Gearheads CTV - Contextual,248292939179,0.18
2025-08-01,Open Auction - BFM,—,—,Beeswax UR Improvement Tier 2 (Mid UR),,0.0
2026-07-01,Open Auction - BFM,Pubmatic,—,Seedtag,,138472.75
2026-07-01,Select - BFM,Yahoo DSP,Camelot,Yahoo - Curated CTV - Hardees,PMGCuratedCTVHardees,0.0
2026-07-01,Select - BFM,TheTradeDesk,Strategus,Strategus - TTD Deal - Tubi - Bundle List - CTV,Strat70,0.33
2026-08-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Cannabis Category Targeting - Video/CTV,Beach111,308.13
2026-08-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt_Standard Inventory Packages_Beachfront_2025_Food,Beach165,0.0
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - College & University Visitors - Banner,Quoru53,0.0
2025-09-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,GroundTruth - Deal - CTV - Chromecast,BFMGT003,0.21
2025-07-01,DSP Marketplace - BFM,MadHive,—,MadHive Deal - CTV (Blue Emu),729057981120,73.52
2025-07-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - OLV - Non-News,"23813963978, 023813963978",0.0
2025-12-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Migration,Basis - CTV - Political Local News,BFM109,4036.72
2025-08-01,DSP Marketplace - BFM,MadHive,BFM Internal,MadHive - CTV - Xumo (Price Targeted),MH35,206.8
2025-09-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,MLB - CTV - Contextual - Tentpole Deal - VideoAmp,Beach150,0.11
2025-12-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Women 45+ - Reality,711907073746,12034.14
2025-09-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - Desktop MW - Open Auction,,941.58
2025-12-01,Select - BFM,DV360,MultiLocal,T9_mlm_TA_US_CT_CTV_BF_MLMBRID4972,Multi24,1327.32
2025-08-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Curation,TTD Deal - CTV - Curated by Seedtag - Foodies (Test),682007295619,0.0
2026-07-01,Open Auction - BFM,Adtheorent,—,0,,0.0
2025-08-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - SamsungAds - $9 - Bundles - DON&#039;T TOUCH QPS,948945611529,134.5
2025-09-01,Select - BFM,TheTradeDesk,Chief Media,TTD - Chief Media - CTV - Paramount - Channel/Network Targeting - Deal,778185575390,0.0
2025-08-01,Open Auction - BFM,—,—,Conversant Deal - InApp - RON,,0.0
2025-08-01,DSP Marketplace - BFM,Infillion,—,Bidswitch Deal - Display (Bucksense Allow list),938609448678,0.0
2025-10-01,DSP Marketplace - BFM,Beeswax,—,Beeswax Deal - CTV - AudienceXpress - RON - Efficiency Monitoring,765218873628,0.0
2025-07-01,Open Auction - BFM,—,—,SimpliFi - CTV - 1st Price,,0.0
2026-07-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - Desktop MW - Open Auction - Efficiency Monitoring,,1068.14
2025-12-01,Open Auction - BFM,TheTradeDesk,—,TTD - Desktop [Display],,1204.57
2025-11-01,Select - BFM,Bidswitch,Quorum,Quorum > Office and Finance > Physical Visitors,Quoru229,0.0
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Mazda Dealership Visitors - CTV,Quoru132,0.1
2025-09-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - Local News - Political,BFMSA002,655.79
2025-08-01,DSP Marketplace - BFM,Beeswax,—,Beeswax Deal - OLV - Cannabis Allowed,730046772236,0.1
2025-09-01,Open Auction - BFM,SundaySky,—,SundaySky - Desktop - 1st Price,,4150.46
2025-08-01,DSP Marketplace - BFM,SimpliFi,—,Simplifi Deal - App/Web (Small-Screen OTT UK),546476210694,0.0
2025-10-01,Select - BFM,Bidswitch,MultiLocal,Ingage_mlm_Beko_Sport_NL_CTV_CT_BF_MLMBRID7107,Multi40,0.0
2025-07-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - A&E - Network Targeting,747279147159,208.18
2025-09-01,Open Auction - BFM,Viant,—,Viant - MW - 1st Price,,13550.58
2025-11-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Beeswax - CTV - VideoAmp - Holiday Travel,VideoAmp15938,734.36
2025-09-01,Open Auction - BFM,Knorex,—,Bidswitch - Desktop - 1st Price (HB),,0.08
2025-09-01,Open Auction - BFM,Bidswitch,—,0,,0.0
2026-07-01,Open Auction - BFM,Sharethrough,—,Sharethrough InApp Video (Open Auction),,74.92
2025-12-01,Open Auction - BFM,Infillion,—,Bidswitch - APP 1st Price,,2.77
2025-11-01,Open Auction - BFM,Viant,—,Viant - APP,,445.9
2025-08-01,DSP Marketplace - BFM,JamLoop OpenRTB,Beachfront Deal Curation,JamLoop Deal - CTV - Live Soccer,789899425708,6.1
2025-09-01,Select - BFM,Viant,Sightly,MyFitnessPal,Sight18,0.03
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - Holiday/Shopping CTV (Deal Library) - Genre - Goodway,774408369864,620.82
2025-07-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - A+E,747279147159,1669.09
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Shopping Mall Visitors - CTV,Quoru39,0.0
2025-07-01,Select - BFM,Bidswitch,QRate,QrateUS_Costarica_CTV,QRate40,0.0
2025-08-01,Select - BFM,TheTradeDesk,Media Culture,US_CTV_Family & Parenting,BCHUSCTVFP,17.16
2025-08-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Vayu Fox Weather Deal - Viant,473829165204,0.0
2025-09-01,DSP Marketplace - BFM,SimpliFi,—,Simplifi Deal - Fubo CTV (Entertainment),065062151319,1.88
2025-08-01,DSP Marketplace - BFM,Octillion,—,Octillion Deal - CTV - FloSports,976384276753,0.0
2025-08-01,Open Auction - BFM,Promo-PSA,—,Test Ad: PSA :30 (ready.gov) #9,,0.0
2025-12-01,Open Auction - BFM,Zeta DSP,—,Bidswitch - APP,,0.02
2025-09-01,Open Auction - BFM,—,—,F0040487 UECL FASE LIGA J1 COMBO FS3 JUEVES 20,,0.0
2026-07-01,DSP Marketplace - BFM,Adtheorent,Beachfront Deal Curation,BigHappy Mobile Web RON - Display,BigHappy01734,3.76
2026-07-01,Select - BFM,StackAdapt,33Across,Sports Contextual - Stackadapt Deal,33Acr44,0.0
2026-08-01,DSP Marketplace - BFM,Samsung DSP,Beachfront Deal Curation,SamsungAds Efficiency Line,314668390400,0.21
2026-08-01,Open Auction - BFM,Krush Media,—,Krush Media Inapp Video,,0.0
2026-08-01,Open Auction - BFM,Metax,—,MetaX Paramount $10.11,,0.43
2026-07-01,Open Auction - BFM,Marketing Architects -RTB,—,Marketing Architects - CTV 1st Price - Roku Device Targeting Only,,40.79
2025-07-01,DSP Marketplace - BFM,Basis Technologies,—,Basis Deal - RON Cannabis Approved,BFM016,45.2
2025-08-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant Future Today CTV (225478),,25.1
2025-09-01,Select - BFM,TheTradeDesk,Media Culture,Mathnasium Canada,MC_MATH_CA_CTV,63.25
2025-11-01,Select - BFM,Bidswitch,QRate,QrateUS_ElSalvador_CTV,QRate30,0.0
2025-09-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Weekend Morning Moments,Aki14,0.0
2025-07-01,DSP Marketplace - BFM,4INFO,—,Cadent_We TV_PMP,111278368904,0.0
2025-11-01,Select - BFM,Viant,Plex,Plex_Adelphic_$22,Plex2,65.83
2025-11-01,Open Auction - BFM,Bidswitch,—,Bidswitch - APP 1st Price,,0.0
2025-07-01,DSP Marketplace - BFM,Stirista,Beachfront Deal Curation,Stirista Deal - CTV (NY Cannabis-CBD),590294363402,5.33
2025-09-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - Desktop - 1st Price (HB),,1.43
2025-11-01,Open Auction - BFM,—,—,Bidswitch - Seedtag,,0.0
2025-08-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant - CTV - Open Auction,,30832.83
2025-08-01,Open Auction - BFM,—,—,F0033751 FGM C25 JUEVES 20S,,0.0
2025-12-01,Open Auction - BFM,—,—,F0041862 MASL BALTIMORE VS TACOMA DOMIGNO 15,,0.0
2025-07-01,Open Auction - BFM,Yahoo DSP,—,Yahoo Deal - CTV (Division D RON $13),344398214696,0.0
2025-12-01,Select - BFM,—,Strategus,TTD - Strategus - CTV - $12 and Below,,0.0
2026-08-01,Open Auction - BFM,OnSpot Data,—,Bidswitch - Desktop - 1st Price (HB),,0.0
2026-08-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant - Seedtag Q1 Tentpole - GroundHog Day - Contextual CTV,Beach211,0.25
2025-08-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant Newsy  CTV (204776),,39.92
2025-08-01,DSP Marketplace - BFM,DeepIntent,Beachfront Deal Curation,DeepIntent - CTV - Sports (genre),461410362718,126.41
2025-08-01,DSP Marketplace - BFM,DeepIntent,Beachfront Deal Curation,DeepIntent - OLV  - High VCR,730408448229,63.2
2025-10-01,Select - BFM,Bidswitch,QRate,QrateUS_Guatemala_CTV,QRate20,0.0
2025-08-01,Open Auction - BFM,DV360,—,Bidswitch - APP Display,,4.46
2025-07-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Migration,StackAdapt Deal - CTV - Sports Genre + Live Sports,983805237051,783.62
2025-09-01,Open Auction - BFM,IQM,—,IQM - CTV - Open Auction,,18.35
2025-09-01,DSP Marketplace - BFM,SimpliFi,—,Simpli.fi Deal - CTV (Vizio),231262416313,74.2
2025-07-01,DSP Marketplace - BFM,AlexP,—,Select Fees RevShare 20%,RevShare20,0.0
2025-08-01,Open Auction - BFM,SmartClip,—,Sky_DE_SmartClip,,0.0
2025-12-01,DSP Marketplace - BFM,TheTradeDesk,—,TTD Deal - Bully Pulpit - CTV (Political - Left Leaning),335995977,0.0
2025-09-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Home Depot Visitors - Banner,Quoru34,0.0
2025-09-01,DSP Marketplace - BFM,SimpliFi,—,SimpliFi Deal - CTV (UK),546476210694,0.0
2025-07-01,Open Auction - BFM,—,—,F0038258 AEW ALL IN TEXAS SABADO 20,,0.0
2025-12-01,Open Auction - BFM,Epsilon (Conversant),—,Conversant Deal - CTV - RON,255653458214,0.0
2025-09-01,Open Auction - BFM,Knorex,—,Bidswitch - MW - 1st Price (HB),,0.02
2026-07-01,DSP Marketplace - BFM,Beeswax,BFM Internal,Beeswax Deal - CTV - Anoki - RON - $12,996138804224,206.85
2026-07-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - EW Scripps,976384276675,21575.95
2026-07-01,Open Auction - BFM,TheTradeDesk,—,TTD - CTV (UK) ,,196.87
2026-08-01,Open Auction - BFM,StackAdapt,—,StackAdapt - CTV - Open Auction,,21088.99
2025-07-01,DSP Marketplace - BFM,TheTradeDesk,Beachfront Deal Migration,TTD Deal - CTV - MiQ Fubo,770425332965,1694.48
2025-10-01,DSP Marketplace - BFM,StackAdapt,Beachfront Deal Curation,StackAdapt Deal - CTV - Premium Pubs - Political,BFMSA003,1372.44
2025-09-01,DSP Marketplace - BFM,Basis Technologies,Beachfront Deal Curation,Basis Deal - CTV - Skechers 2025 - Men 45+ - Entertainment,242487362196,6531.51
2025-10-01,DSP Marketplace - BFM,Viant,Beachfront Deal Curation,Viant Deal - CTV - Roku Devices,193951448044,4465.94
2025-12-01,Open Auction - BFM,Viant,—,Viant - APP - 1st Price,,344.52
2025-07-01,DSP Marketplace - BFM,StackAdapt,—,StackAdapt Deal - CTV (Holiday & Shopping CTV - Deal Library),BFM035,0.13
2025-10-01,Open Auction - BFM,—,—,VTV VERTA  Dummy Ad,,0.0
2025-10-01,Open Auction - BFM,SimpliFi,—,SimpliFi - APP - 1st Price,,4465.92
2025-09-01,Open Auction - BFM,Yahoo DSP,—,Yahoo - CTV - Open Auction,,5711.47
2025-08-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Red Carpet,Aki24,0.0
2025-08-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Wingstop Visitors - CTV,Quoru80,0.09
2025-08-01,Open Auction - BFM,BizzClick,—,BizzClick - App (Indirect),,0.0
2025-11-01,Select - BFM,Xandr,Quorum,Quorum Optimized > MSFT > High Index Zips - Chick-fil-A Visitors - CTV,Quoru92,0.0
2025-08-01,DSP Marketplace - BFM,SimpliFi,BFM Internal,0,667896312331,0.0
