m,bl,dsp,cva,ad,did,rev
2026-08-01,Open Auction - BFM,Basis Technologies,—,Basis - CTV - oRTB - (Canada),,11.89
2026-08-01,DSP Marketplace - BFM,Bidswitch,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Event Hosts & Planners - Connected TV,STNXCTV038,0.0
2026-08-01,Open Auction - BFM,Knorex,—,Bidswitch - CTV - 1st Price,,4.43
2025-10-01,Open Auction - BFM,Walmart,—,TTD - APP [Display],,1064.03
2025-09-01,DSP Marketplace - BFM,JamLoop OpenRTB,—,JamLoop Deal - CTV - EW Scripps - Vegas Golden Knights,612418020365,132.79
2025-08-01,DSP Marketplace - BFM,Octillion,Beachfront Deal Migration,Octillion Deal - CTV - WeatherGroup,370043533271,226.07
2025-08-01,DSP Marketplace - BFM,4INFO,—,4INFO Deal - CTV - T1 Indirect - (FOOD),182093321207,0.0
2025-08-01,DSP Marketplace - BFM,Yahoo DSP,Beachfront Deal Curation,Yahoo - Casual IQ - Gearheads  - CTV - Contextual,860327194583,0.0
2025-08-01,Open Auction - BFM,Krush Media,—,Krush Media Inapp Video,,0.0
2025-09-01,Open Auction - BFM,DV360,—,Bidswitch - APP Display,,3.9
2025-09-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Migration,Beeswax Deal - CTV - Datafy - Women - Audience Targeted,976376076662,6614.67
2025-12-01,Open Auction - BFM,—,—,LiveRamp CTV Pixel,,0.0
2025-09-01,DSP Marketplace - BFM,GroundTruth,Beachfront Deal Curation,GroundTruth Deal - Desktop Web - Always On - Display,Beach190,0.84
2025-07-01,DSP Marketplace - BFM,Viant,—,Viant Deal - Desktop/MW (Video RON  - Policital Allowed Pubs Only),827453121055,11.81
2025-10-01,DSP Marketplace - BFM,Epsilon (Conversant),Beachfront Deal Curation,Conversant Cryptocurrency Category Targeting - Video/CTV,Beach112,1267.15
2025-09-01,Select - BFM,TheTradeDesk,Aki,Aki Deal - CTV - Munchies Moment,Aki17,0.15
2025-10-01,Open Auction - BFM,—,—,F0041121 NFL WEEK 7 FS2 COMBO PATRIOTS VS TITANS + COLTS VS CHARGERS DOMINGO 30,,0.0
2026-07-01,DSP Marketplace - BFM,Beeswax,Beachfront Deal Curation,Beeswax Deal - CTV - Univision Demand - Political,601346667710,0.19
2026-08-01,DSP Marketplace - BFM,DV360,Beachfront Deal Curation,Seedtag NeuroX | Always-On | Beauty & Cosmetics Enthusiasts - Connected TV,STNXCTV001,0.65
2026-08-01,Open Auction - BFM,Lemma DSP,—,Lemma DSP CTV Ad (COPPA),,0.0
2026-08-01,Open Auction - BFM,StackAdapt,—,StackAdapt - Desktop - Open Auction,,16.09
2025-11-01,Open Auction - BFM,SmartyAds,—,SmartyAds - CTV (LATAM),,49.84
2025-09-01,Open Auction - BFM,Stirista,—,Stirista - Open Auction - OLV (Web),,0.03
2025-11-01,Open Auction - BFM,Walmart,—,TTD - CTV (1st Price),,110.65
2025-08-01,Select - BFM,Yahoo DSP,Camelot,0,"PMGPub, PMGLGAds, PMGCuratedCTV",0.0
