quarter,advertiser,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-01-01,DV360,Bidswitch - Desktop - 1st Price (HB),26865.95,,,,0
2025-01-01,Yahoo DSP,Yahoo - CTV - Open Auction,26551.63,,,,0
2026-04-01,Xandr,Xandr CTV,26382.13,,10141.2,,0
2025-07-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),26208.75,,,9842.35,0
2025-04-01,Sharethrough,Sharethrough Web (Open Auction),25973.27,,,,0
2025-01-01,Beeswax,Beeswax - CTV - Open Auction - Paramount,25778.73,,,,0
2025-07-01,Viant,Viant - MW - 1st Price,25393.85,,,18.64,0
2026-01-01,TheTradeDesk,TTD - APP [Display],24315.25,,,,0
2026-01-01,Basis Technologies,Centro Video Web (1st Price),24093.44,,,,0
2025-01-01,SundaySky,SundaySky - Desktop - 1st Price,23854.06,,,,0
2025-01-01,Amobee,Amobee - CTV - 1st Price,23844.94,,,,0
2025-04-01,DV360,Bidswitch - Seedtag,23811.84,,,,0
2025-07-01,Amazon DSP,Bidswitch - Seedtag,23716.91,,,6787.72,0
2026-01-01,Amazon DSP,Bidswitch - Seedtag,23296.89,,,,0
2025-01-01,Viant,Viant - APP,23121.94,,,,0
2025-01-01,GroundTruth,GroundTruth Video CTV - No LatLong,23054.67,,,,0
2026-01-01,DV360,Bidswitch - CTV - 1st Price,22947.96,,,,0
2025-07-01,Adtheorent,Ad Theorent - CTV - 1st Price,22709.76,,,10766.95,0
2026-01-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,22276.0,,,,0
2026-04-01,Viant,Viant - CTV (Charter),22273.03,,7497.76,,0
2025-07-01,TheTradeDesk,TTD - CTV (LG Ads Only),22164.19,,,13118.0,0
2025-04-01,SmartyAds,SmartyAds - CTV (Samsung),22068.46,,,,0
2025-04-01,Walmart,TTD - CTV (1st Price),21872.67,,,,0
2025-10-01,DV360,Bidswitch - Seedtag,21758.45,,,,0
2025-01-01,TheTradeDesk,TTD - APP,21452.1,,,,0
2025-04-01,SimpliFi,SimpliFi - APP [Display],21071.47,,,,0
2025-04-01,Basis Technologies,Centro Display InApp,20745.94,,,,0
2025-01-01,Viant,Viant - MW [Display],20510.09,,,,0
2026-04-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,20307.66,,6322.53,,0
2026-01-01,Viant,Viant - MW - 1st Price,20044.57,,,,0
2025-01-01,MadHive,MadHive - CTV - 1st Price,20017.68,,,,0
2025-04-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),19583.34,,,,0
2025-04-01,Yahoo DSP,Yahoo - CTV - Open Auction,18856.36,,,,0
2026-07-01,DV360,Bidswitch - CTV - 1st Price,18848.95,18848.95,,,0
2026-04-01,Pubmatic,SEEDTAG (DON'T USE),18766.15,,,,0
2026-01-01,Viant,Viant - MW,18710.77,,,,0
2026-04-01,Adtelligent,Adtelligent - CTV (Price Targeted),18679.1,,5270.69,,0
2025-04-01,MadHive,MadHive - CTV - 1st Price,18141.71,,,,0
2026-07-01,StackAdapt,Seedtag,17994.14,17994.14,,,0
2025-10-01,SmartyAds,SmartyAds - CTV (Samsung),17932.55,,,,0
2025-10-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),17832.01,,,,0
2025-07-01,Yahoo DSP,Yahoo - CTV - Open Auction,17808.06,,,4129.47,0
2025-07-01,Sharethrough,Sharethrough Web (Open Auction),17377.03,,,3349.31,0
2026-04-01,Lemma DSP,Lemma DSP CTV Ad,17319.05,,6290.66,,0
2025-01-01,TheTradeDesk,TTD - MW [Display],17248.85,,,,0
2025-10-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,17121.87,,,,0
2026-01-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),16457.28,,,,0
2025-07-01,SmartyAds,SmartyAds - CTV (Samsung),16054.19,,,4955.11,0
2025-10-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),16016.79,,,,0
2025-07-01,SimpliFi,SimpliFi - Web (1st Price),15739.7,,,4022.1,0
2025-10-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,15667.88,,,,0
2025-10-01,Viant,Viant - Desktop,15429.85,,,,0
2026-07-01,Yahoo DSP,Yahoo - In-App,15230.42,15230.42,,,0
2025-04-01,Adtheorent,Ad Theorent - Desktop/MW Display,15222.54,,,,0
2025-07-01,Quantcast,Bidswitch - Seedtag,15120.17,,,3414.75,0
2025-04-01,Seedtag,Seedtag - Open Auction-  Ads.txt Updated CTV Supply  ,14942.23,,,,0
2025-04-01,SimpliFi,SimpliFi - Web (1st Price),14899.71,,,,0
2025-04-01,MadHive,MadHive - CTV - 1st Price (Paramount OA),14791.57,,,,0
2025-07-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,14505.32,,,4514.83,0
2025-07-01,SundaySky,SundaySky - MW - 1st Price,14359.28,,,4416.66,0
2025-04-01,Sharethrough,Sharethrough InApp Video (Open Auction),14342.79,,,,0
2025-01-01,Seedtag,Seedtag - Open Auction - CTV,14213.18,,,,0
2025-07-01,Basis Technologies,Centro Display InApp,14176.13,,,4394.03,0
2025-10-01,Amazon DSP,Bidswitch - MW - 1st Price (HB),14124.97,,,,0
2025-04-01,Viant,Viant - APP [Display],13910.18,,,,0
2025-10-01,Adtheorent,Ad Theorent - CTV - 1st Price,13887.72,,,,0
2025-07-01,Amazon DSP,Bidswitch - MW - 1st Price (HB),13836.78,,,521.35,0
2025-01-01,Adtheorent,Ad Theorent - Desktop/MW - 1st Price,13815.1,,,,0
2025-01-01,Yahoo DSP,Yahoo - Desktop MW - Open Auction,13480.1,,,,0
2026-04-01,Adtheorent,Ad Theorent - CTV - 1st Price,13336.36,,1939.96,,0
2025-04-01,SundaySky,SundaySky - MW - 1st Price,13292.25,,,,0
2025-04-01,Adtheorent,Ad Theorent - Desktop/MW - 1st Price,13279.99,,,,0
2025-07-01,SundaySky,SundaySky - Desktop - 1st Price,13275.89,,,4683.8,0
2025-01-01,Basis Technologies,Centro Display InApp,13250.99,,,,0
2025-04-01,Marketing Architects -RTB,Marketing Architects - CTV - EW Scripps LAT,12992.87,,,,0
2025-07-01,LoopMe,LoopMe DSP Lottery Campaign copy (deal mimic),12645.8,,,1941.46,0
2025-07-01,SimpliFi,SimpliFi - APP [Display],12643.9,,,5419.27,0
2026-04-01,TheTradeDesk,TTD - APP,12331.25,,3603.51,,0
2025-01-01,Adtheorent,Ad Theorent - CTV - 1st Price,12222.47,,,,0
2025-01-01,Demandbase,DemandBase - CTV,11980.54,,,,0
2025-04-01,Sharethrough,Sharethrough CTV Video,11942.95,,,,0
2026-04-01,Viant,Viant - MW - 1st Price,11926.2,,3291.91,,0
2025-10-01,Viant,Viant - Desktop - 1st Price,11916.28,,,,0
2025-01-01,Viant,Viant - Desktop [Display],11870.75,,,,0
2025-10-01,Quantcast,Bidswitch - Seedtag,11848.98,,,,0
2025-07-01,TheTradeDesk,TTD - MW - 1st Price (HB),11832.96,,,3188.4,0
2026-01-01,Lemma DSP,Lemma DSP Inapp Video,11819.95,,,,0
2025-01-01,Sharethrough,Sharethrough InApp Video (Open Auction),11810.92,,,,0
2025-01-01,MadHive,MadHive - CTV - 1st Price (Paramount OA),11743.89,,,,0
2025-10-01,Basis Technologies,Centro Display InApp,11536.73,,,,0
2025-04-01,Infillion,Bidswitch - CTV - 1st Price,11526.9,,,,0
2025-01-01,SimpliFi,SimpliFi - APP [Display],11503.17,,,,0
2026-01-01,Viant,Viant - Desktop - 1st Price,11403.33,,,,0
2025-04-01,Viant,Viant - APP,11310.44,,,,0
2026-07-01,Adtelligent,Adtelligent - CTV - A+E Networks $15,11247.85,11247.85,,,0
2025-04-01,TheTradeDesk,TTD - MW [Display],11166.05,,,,0
2025-04-01,Amazon DSP,Bidswitch - MW - 1st Price (HB),11023.23,,,,0
2026-01-01,Sharethrough,Sharethrough Web (Open Auction),10940.0,,,,0
2026-01-01,Adtheorent,Ad Theorent - CTV - 1st Price,10877.45,,,,0
2025-07-01,Sharethrough,Sharethrough InApp Video (Open Auction),10865.36,,,2048.75,0
2025-04-01,Marketing Architects -RTB,Marketing Architects - OTT,10773.31,,,,0
2025-07-01,Sharethrough,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,10674.47,,,4781.38,0
2026-04-01,Viant,Viant - MW,10564.17,,2918.79,,0
2025-04-01,Walmart,TTD - APP [Display],10541.76,,,,0
2025-04-01,SundaySky,SundaySky - Desktop - 1st Price,10532.98,,,,0
2025-01-01,SimpliFi,SimpliFi - Web (1st Price),10421.26,,,,0
2025-04-01,SimpliFi,SimpliFi - APP - 1st Price,10125.94,,,,0
2025-01-01,SmartyAds,SmartyAds - CTV (Samsung),9901.62,,,,0
2025-07-01,SimpliFi,SimpliFi - APP - 1st Price,9852.24,,,2672.95,0
2025-10-01,SimpliFi,SimpliFi - Web (1st Price),9815.63,,,,0
2025-04-01,TheTradeDesk,TTD - CTV (LG Ads Only),9694.7,,,,0
2025-10-01,Adtheorent,Ad Theorent - Desktop/MW - 1st Price,9605.09,,,,0
2025-07-01,Adtheorent,Ad Theorent - Desktop/MW - 1st Price,9572.0,,,3042.62,0
2026-01-01,Viant,Viant - CTV (Charter),9383.87,,,,0
2025-07-01,TheTradeDesk,TTD - CTV - oRTB (Canada),9196.52,,,,0
2025-04-01,Viant,Viant - MW [Display],9166.4,,,,0
2025-07-01,TheTradeDesk,TTD - MW [Display],9120.45,,,3424.46,0
2025-07-01,MadHive,MadHive - CTV - 1st Price,8983.18,,,4477.43,0
2025-10-01,SmartyAds,SmartyAds - CTV (Canada),8964.78,,,,0
2025-01-01,Sharethrough,Sharethrough Web (Open Auction),8783.81,,,,0
2025-07-01,Walmart,TTD - APP [Display],8519.93,,,3650.65,0
2025-07-01,Viant,Viant - Desktop - 1st Price,8518.56,,,30.75,0
2025-10-01,Infillion,Bidswitch - CTV - 1st Price,8290.06,,,,0
2026-01-01,Adtheorent,Ad Theorent - Desktop/MW - 1st Price,8103.11,,,,0
2026-01-01,Viant,Viant - Desktop,7942.79,,,,0
2025-01-01,TheTradeDesk,TTD - Desktop [Display],7763.52,,,,0
2025-04-01,Sharethrough,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,7720.87,,,,0
2026-07-01,StackAdapt,StackAdapt - CTV - Open Auction - Efficiency Monitoring,7661.11,7661.11,,,0
2025-07-01,Walmart,TTD - APP,7612.08,,,505.34,0
2026-01-01,LoopMe,LoopMe DSP Lottery Campaign copy (deal mimic),7500.86,,,,0
2026-04-01,Adtheorent,Ad Theorent - Desktop/MW - 1st Price,7491.41,,4375.69,,0
2025-04-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),7473.88,,,,0
2025-01-01,Viant,Viant - APP [Display],7424.42,,,,0
2026-04-01,Marketing Architects -RTB,Marketing Architects - CTV 1st Price,7389.44,,5350.66,,0
2025-04-01,Seedtag,Seedtag - Open Auction - CTV,7360.35,,,,0
2025-10-01,SundaySky,SundaySky - Desktop - 1st Price,7357.72,,,,0
2026-04-01,Yahoo DSP,Yahoo - CTV - Open Auction- Efficiency Monitoring,7352.24,,769.54,,0
2026-01-01,TheTradeDesk,TTD - CTV - oRTB (Canada),7334.66,,,,0
2025-10-01,TheTradeDesk,TTD - MW - 1st Price (HB),7282.69,,,,0
2025-01-01,Epsilon (Conversant),Conversant - Web - Open Auction - Display,7182.51,,,,0
2025-01-01,Storygize,Storygize - MW (1st Price),7163.56,,,,0
2025-10-01,SimpliFi,SimpliFi - APP - 1st Price,7124.79,,,,0
2025-01-01,TheTradeDesk,TTD - CTV (Charter),7123.59,,,,0
2026-07-01,Yahoo DSP,Seedtag,7114.21,7114.21,,,0
2025-07-01,Adtheorent,Ad Theorent - Desktop/MW Display,7041.35,,,3081.15,0
2025-10-01,Epsilon (Conversant),Conversant - InApp - Open Auction,6986.92,,,,0
2025-10-01,Viant,Viant - CTV (Charter),6983.35,,,,0
2025-10-01,Demandbase,DemandBase - CTV,6916.53,,,,0
2026-07-01,LoopMe,LoopMe - Open Auction - CTV,6914.72,6914.72,,,0
2026-07-01,Adtheorent,Ad Theorent - CTV - 1st Price,6899.39,6899.39,,,0
2025-01-01,TheTradeDesk,TTD - CTV (LG Ads Only),6893.65,,,,0
2026-07-01,Beeswax,Beeswax UR Improvement Tier 1 (High UR),6845.82,6845.82,,,0
2025-10-01,SundaySky,SundaySky - MW - 1st Price,6840.34,,,,0
2025-04-01,SmartyAds,SmartyAds - CTV (Paramount),6765.35,,,,0
2026-04-01,StackAdapt,StackAdapt - CTV - Open Auction (Canada),6714.88,,1345.17,,0
2025-01-01,StackAdapt,StackAdapt - Desktop - Open Auction,6640.35,,,,0
2026-01-01,Epsilon (Conversant),Conversant - InApp - Open Auction,6622.94,,,,0
2025-07-01,Epsilon (Conversant),Conversant Pluto CTV (204778),6594.07,,,2975.27,0
2026-04-01,LoopMe,LoopMe - Open Auction - CTV,6591.98,,3437.2,,0
2026-01-01,Walmart,TTD - CTV (1st Price),6587.63,,,,0
2025-07-01,MadHive,MadHive - CTV - 1st Price (Paramount OA),6582.45,,,3730.58,0
2026-07-01,Xandr,Xandr CTV,6500.92,6500.92,,,0
2026-01-01,Epsilon (Conversant),Conversant - CTV - Open Auction,6483.02,,,,0
2025-01-01,SundaySky,SundaySky - MW - 1st Price,6446.53,,,,0
2026-01-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),6445.74,,,,0
2026-04-01,,TrueX FireTV AVOD,6424.98,,1313.1,,0
2025-01-01,TheTradeDesk,TTD - MW - 1st Price (HB),6335.52,,,,0
2025-01-01,SimpliFi,SimpliFi - MW [Display],6328.83,,,,0
2026-07-01,TheTradeDesk,TTD - APP [Display],6297.67,6297.67,,,0
2025-01-01,Walmart,TTD - CTV (1st Price),6285.88,,,,0
2026-04-01,Lemma DSP,Lemma DSP Inapp Video,6269.04,,1883.47,,0
2025-07-01,SmartyAds,SmartyAds - CTV (Paramount),6178.04,,,1999.3,0
2026-01-01,Octillion,Octillion - CTV - Open,6141.13,,,,0
2026-01-01,,TrueX FireTV AVOD,6092.9,,,,0
2025-01-01,GroundTruth,GroundTruth Video CTV - Efficiency Monitoring,6021.47,,,,0
2025-01-01,TheTradeDesk,TTD - Desktop - 1st Price (HB),6018.53,,,,0
2026-01-01,Quantcast,Bidswitch - Seedtag,5986.28,,,,0
2026-01-01,TheTradeDesk,TTD - MW - 1st Price (HB),5828.87,,,,0
2025-04-01,TheTradeDesk,TTD - Desktop [Display],5767.68,,,,0
