dsp_group_name,connection_type,business_line,product_category,ytd_current_year,ytd_previous_year,change_pct
Sharethrough,Reseller,Open Auction - Seedtag,Online Video,23210.684658330327,6099.76442327816,280.5177224509327
EASYmedia,Reseller,Open Auction - Seedtag,Display,22892.85443710617,65.69598378377486,34746.65746456191
RtbHouse,Direct,PMP Web - O&O,Display,22249.949083931977,4200.929999203887,429.6434143903502
Pubmatic,Direct,Open Auction - BFM,CTV,21825.350000000024,0,
Pubmatic,Reseller,Direct External Web,Native,21554.67203043021,0,
LiquidM,Reseller,Open Auction - Seedtag,Display,21399.780494089006,7733.801772612685,176.70453837944163
AdXperience,Reseller,Open Auction - Seedtag,Native,20723.036556827807,5953.440414934972,248.0850585963941
Illumin,Reseller,Open Auction - Seedtag,Display,20427.934561039663,6638.580066625315,207.71542040652207
Adtheorent,Reseller,Open Auction - Seedtag,Online Video,20037.935633952653,16335.200560857185,22.667215252734966
Opera,Reseller,Open Auction - Seedtag,Native,19773.41000357015,1239.307536819255,1495.5208385417877
Illumin,Direct,Open Auction - Seedtag,Online Video,19730.737544586216,8931.43074608309,120.91351436878352
Pubmatic,Reseller,Open Auction - Seedtag,Native,19172.68797689343,1409.1184863215458,1260.6157440275342
SmartAdServerORTB,Reseller,PMP External Web,Native,18962.439451988168,0,
Eskimi,Reseller,Open Auction - Seedtag,Display,18850.56212365275,4593.684807486037,310.35819638589885
OneTag,Reseller,Open Auction - Seedtag,Display,18622.27886793131,9581.87126352539,94.34908230106763
Kayzen OpenRTB,Reseller,Open Auction - Seedtag,Display,18407.136817762046,2205.110323059489,734.7490202768173
Adipolo,Reseller,Open Auction - Seedtag,Display,17935.835321473718,0,
Zeta DSP,Reseller,Open Auction - Seedtag,Online Video,17838.029905609492,12938.427976693274,37.8686030307712
Appier,Reseller,Open Auction - Seedtag,Online Video,17412.5461291507,685.2823267394342,2440.9302778899037
Mediasmart,Reseller,Open Auction - Seedtag,Display,16869.195010958218,3000.6714756498204,462.18067015500435
Beeswax,Direct,Open Auction - Seedtag,Display,16823.416578023418,25468.729955543895,-33.94481543685539
Walmart,Direct,Select - BFM,CTV,16731.870000000003,28423.33,-41.1333225206195
Basis Technologies,Reseller,PMP External Web,Display,16673.855225771546,1697.8224291253885,882.0729741661422
GroundTruth,Direct,Open Auction - BFM,CTV,16496.01,83221.53,-80.17819427256384
DV360,BidSwitch,Select - BFM,CTV,16265.74,5569.699999999999,192.03978670305406
TAPTAP,Reseller,Open Auction - Seedtag,Online Video,15686.378791773102,5561.507017451324,182.05266562734124
Sharethrough,Reseller,Open Auction - Seedtag,Display,15627.521284012706,3030.630676811503,415.6524483034096
Outbrain/Teads,Direct,Open Auction - Seedtag,Online Video,15415.53332516014,0,
Pubmatic,Reseller,PMP External Web,Native,14837.125783447937,11362.421618480306,30.580665650676345
LiquidM,Reseller,Open Auction - Seedtag,Native,14396.609922857126,2569.4476164054504,460.29980260883394
Opt Out Advertising B.V.,Reseller,Open Auction - Seedtag,Display,14306.40267601884,813.0326027472893,1659.6345617231818
RtbHouse,Reseller,Open Auction - Seedtag,Online Video,14169.488365329476,3902.5377444230926,263.08395442371653
Valassis OpenRTB,Reseller,Open Auction - Seedtag,Display,13731.38356915299,3475.118663634319,295.1342356405335
Beeswax,Direct,Open Auction - Seedtag,Online Video,12729.196939464986,18074.11463327019,-29.572224157339743
TheTradeDesk,Direct,Direct External Web,Native,12662.759201942461,0,
Sportradar,BidSwitch,Open Auction - Seedtag,Online Video,12560.365801323282,1207.4210426201307,940.2639475345738
MGID Inc,Reseller,Open Auction - Seedtag,Native,12500.393734280915,0,
AppNexus,Direct,Direct External Web,Native,11825.137421017913,76564.94877834963,-84.5554165323732
Madopi,BidSwitch,Open Auction - Seedtag,Native,11325.947243735896,0,
Viant,Direct,PMP Web - O&O,Display,11173.209381103516,0,
PlayWire,Direct,Open Auction - BFM,CTV,10826.64,1154.42,837.8423797231509
Verve,Reseller,Open Auction - Seedtag,Display,10771.174679687247,190.74606307563954,5546.866051131018
IQM,Reseller,Open Auction - Seedtag,Online Video,10650.214702553058,96.30401942954632,10958.951397500596
Temu,Reseller,Open Auction - Seedtag,Display,10582.963309718518,0.016881604038644582,62689223.15609636
Azira,Reseller,Open Auction - Seedtag,Display,10569.687004457024,189.8439735751017,5467.565198626486
Viant,Direct,Open Auction - BFM,Display,10505.939999999999,20170.059999999994,-47.91319411047859
Soapbox,Reseller,Open Auction - Seedtag,Native,10504.880076634465,1400.1218958990648,650.2832508657349
DV360,Reseller,PMP Web - O&O,Native,10499.628346011508,0,
Criteo,Reseller,Open Auction - Seedtag,Online Video,10460.656098996318,3359.6044397978403,211.36570648256955
Adello Group AG,Reseller,Open Auction - Seedtag,Display,10258.547696082183,1004.5605099324894,921.1975878657225
Octillion,Direct,Open Auction - BFM,CTV,10166.89,817.4000000000002,1143.8084169317344
VDX,Reseller,Open Auction - Seedtag,Display,10093.867395034511,16545.166578046163,-38.992047330438496
Walmart,Direct,Open Auction - BFM,CTV,9943.22,30878.839999999997,-67.7992437539752
Amazon DSP,BidSwitch,Open Auction - Seedtag,Online Video,9917.616591224902,0,
DeepIntent,Reseller,Open Auction - Seedtag,Display,9715.555012240993,18095.694625413686,-46.310129490158296
Madopi,BidSwitch,Open Auction - Seedtag,Display,9604.185244248496,0,
Basis Technologies,Direct,Open Auction - BFM,Display,9271.869999999995,57968.98000000002,-84.00546292172125
Stirista,Direct,DSP Marketplace - BFM,CTV,8889.14,7416.969999999999,19.848671357710764
DeepIntent,Reseller,PMP Web - O&O,Online Video,8557.465642213821,0,
Media.net,Reseller,Open Auction - Seedtag,Display,8442.631930261168,639.0495449431965,1221.1232207373864
