dsp_group_name,connection_type,business_line,product_category,last_7_days,previous_7_days,abs_change,change_pct
Amazon DSP,Reseller,PMP Web - O&O,Online Video,5656.07379668206,4180.235300844535,1475.8384958375245,35.30515364863217
LinkedIn,Reseller,Open Auction - Seedtag,Display,17584.2718894368,16225.334404277179,1358.9374851596222,8.375405099825807
Emodo,Reseller,Open Auction - Seedtag,Online Video,1919.7323814046804,563.1245116653517,1356.6078697393286,240.90726680097362
NextRoll,BidSwitch,Open Auction - Seedtag,Display,19492.30567906634,18172.941721065057,1319.3639580012823,7.2600461623224675
Pubmatic,Reseller,Direct External Web,Display,1206.5520197762864,0,1206.5520197762864,
Basis Technologies,Reseller,PMP External Web,Display,2636.0062684364393,1479.32478922817,1156.6814792082694,78.18982603622575
Equativ Direct Demand,Reseller,Open Auction - Seedtag,Display,37521.81767883392,36481.29432885401,1040.523349979907,2.852210616762382
Conversant,Reseller,Open Auction - Seedtag,Online Video,20761.97785042372,19731.3984772617,1030.5793731620179,5.223042727304144
Storygize,Reseller,Open Auction - Seedtag,Native,2167.3258991241455,1172.7942638397217,994.5316352844238,84.80017902102735
StackAdapt,Direct,Open Auction - Seedtag,Native,46278.61232462732,45470.360768392886,808.2515562344342,1.7775349537060672
TheTradeDesk,Direct,Direct External Web,Other,16634.19331190867,15857.108002603725,777.0853093049463,4.900548758180555
Basis Technologies,Direct,DSP Marketplace - BFM,CTV,3611.999999999999,2897.45,714.5499999999993,24.66134014391963
Nexxen,Reseller,PMP External Web,Native,6588.115818149463,5885.004586260148,703.1112318893147,11.947505249713554
MadHive,Reseller,Open Auction - Seedtag,Online Video,946.0042427056324,338.86065119983687,607.1435915057955,179.17205475348734
Outbrain/Teads,Direct,Open Auction - Seedtag,Online Video,4510.063371414464,3905.765605443992,604.297765970472,15.471941407036324
Nexxen,Reseller,Open Auction - Seedtag,Display,13292.373416005987,12698.286431831395,594.0869841745916,4.6784815208244614
Basis Technologies,Reseller,PMP External Web,Native,584.9149930604818,64.3789657299197,520.5360273305621,808.5498445475125
Pubmatic,Reseller,PMP External Web,Online Video,13911.839906091343,13399.606948541168,512.2329575501753,3.8227461411167942
Magnite,Reseller,Open Auction - Seedtag,Display,47369.22395507258,46882.167936132944,487.05601893963467,1.0388939769234768
Viant,Direct,PMP Web - O&O,Display,1463.8371124267578,983.9048881530762,479.93222427368164,48.77831486075651
Conversant,Direct,DSP Marketplace - BFM,CTV,10794.98000000001,10326.240000000002,468.7400000000089,4.539309564759378
Criteo,Reseller,Open Auction - Seedtag,Online Video,1893.7089474097338,1452.823647502286,440.8852999074479,30.346787145530286
Adello Group AG,Reseller,Open Auction - Seedtag,Display,919.0257742279209,480.71411119202094,438.3116630359,91.17927949920669
Opt Out Advertising B.V.,Reseller,Open Auction - Seedtag,Display,581.8149297209247,160.55026193154845,421.2646677893763,262.3880289706316
DBM,Direct,Open Auction - BFM,CTV,579.2200000000004,165.97999999999996,413.2400000000004,248.96975539221626
Opera,Reseller,Open Auction - Seedtag,Native,1188.6380990124162,781.248894250115,407.38920476230123,52.14589201477661
Emodo,Reseller,Open Auction - Seedtag,Display,444.4648707965853,39.196503393081,405.26836740350427,1033.9401026139553
AdMixerBidswitch,BidSwitch,Open Auction - Seedtag,Display,616.3888912682196,225.32182858278702,391.0670626854326,173.5593329528426
Yahoo DSP,Reseller,PMP External Web,Online Video,11224.329816090216,10839.686056668686,384.64375942152947,3.5484769338397273
Illumin,Direct,Open Auction - Seedtag,Online Video,2211.4090862123994,1835.777308255434,375.6317779569654,20.46172900535162
Basis Technologies,Reseller,PMP Web - O&O,Display,445.30575037002563,92.86311435699463,352.442636013031,379.52920107560914
Criteo,Reseller,Open Auction - Seedtag,Native,4931.540554749779,4598.132095943525,333.4084588062542,7.250954340793892
Equativ Direct Demand,Reseller,PMP External Web,Online Video,3282.458509821443,2953.99560038156,328.4629094398829,11.119275512714243
Bidtellect,Reseller,Open Auction - Seedtag,Online Video,553.7827717548644,227.40783179015853,326.37493996470585,143.51965690692202
DeepIntent,Direct,Open Auction - Seedtag,Online Video,498.65113810182083,173.53777190682013,325.1133661950007,187.34443955496215
Criteo,Reseller,Open Auction - Seedtag,Display,15807.418662672138,15506.14588584171,301.2727768304285,1.9429249476203718
Viant,Direct,Open Auction - Seedtag,Display,4155.548598473833,3873.2884424736258,282.26015600020764,7.2873518250023706
Smadex,Reseller,Open Auction - Seedtag,Display,1164.1219429806697,884.5667391976458,279.5552037830239,31.603630500124495
Cox Automotive DSP,Reseller,Open Auction - Seedtag,Display,573.1395614960347,306.24187969526974,266.897681800765,87.15257432012409
OnSpot Data,BidSwitch,Open Auction - BFM,CTV,512.1100000000001,257.54,254.5700000000001,98.84678108255032
Hawk DSP,Reseller,Open Auction - Seedtag,Display,4082.483041031068,3849.7189851226976,232.7640559083702,6.046260955874721
GroundTruth,Direct,Open Auction - BFM,CTV,359.32,130.76,228.56,174.7935148363414
Sharethrough,Reseller,Open Auction - Seedtag,Native,359.60905779286986,142.05554325081175,217.5535145420581,153.1467970651085
Viant,Reseller,Open Auction - Seedtag,Native,268.6633431686914,59.70414814399919,208.95919502469224,349.9910835687797
Cognitiv,Reseller,Open Auction - Seedtag,Online Video,3166.916999996043,2971.2556125041738,195.6613874918694,6.585141536408105
Pelmorex Audience,Reseller,Open Auction - Seedtag,Display,383.5253085133154,202.74408949713688,180.7812190161785,89.16719568228473
Samsung DSP,Reseller,Open Auction - Seedtag,Online Video,302.423001176212,133.1275926809758,169.2954084952362,127.16778324154949
Basis Technologies,Direct,Open Auction - BFM,CTV,3731.8099999999954,3566.4999999999995,165.30999999999585,4.635076405439391
Baidu,Reseller,Open Auction - Seedtag,Native,1308.0672868736547,1151.705661280368,156.3616255932866,13.57652661179568
Verve,Reseller,Open Auction - Seedtag,Display,1035.970119526086,884.809780365671,151.16033916041488,17.08393628944109
Simpli.fi,Reseller,Open Auction - Seedtag,Display,7527.266638318426,7381.463993553858,145.80264476456796,1.975253755784701
Outbrain/Teads,Reseller,Open Auction - Seedtag,Online Video,394.8923405297537,255.85769569133117,139.03464483842254,54.340614794778375
33Across,Reseller,Open Auction - Seedtag,Display,337.1747030937113,205.56398043979425,131.61072265391704,64.02421395632747
Mediasmart,Reseller,Open Auction - Seedtag,Display,1082.7762660655526,953.6964579134874,129.0798081520652,13.534684655793741
RtbHouse,Direct,Open Auction - Seedtag,Online Video,1835.91043187767,1718.2160550332246,117.69437684444529,6.849800786093194
StackAdapt,Direct,PMP Web - O&O,Display,742.1478137555532,624.8248748779297,117.32293887762353,18.776931520299122
